temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,date
46344,45090,0,0,0,18392,907,2890,10,2308,2014-08-18
46388,45230,0,0,0,18347,928,2949,13,2245,2014-08-19
46392,45224,0,0,0,17981,810,2752,10,2192,2014-08-20
46297,45061,0,0,0,18322,899,2849,11,2239,2014-08-21
46376,45195,0,0,0,18141,1042,3052,14,2339,2014-08-22
46183,44966,0,0,0,18366,972,2957,14,2317,2014-08-23
45972,44740,0,0,0,18367,754,2710,14,2193,2014-08-24
46218,45187,0,0,0,18086,786,2655,17,2142,2014-08-25
46270,45254,0,0,0,17643,733,2644,13,2233,2014-08-26
46358,45396,0,0,0,17811,743,2652,14,2209,2014-08-27
46324,45295,0,0,0,18248,817,2681,15,2203,2014-08-28
46238,45129,0,0,0,18832,1021,2955,15,2263,2014-08-29
46072,44993,0,0,0,18596,1078,3052,15,2335,2014-08-30
45996,44789,0,0,0,18400,1087,3088,17,2383,2014-08-31
45991,44763,0,0,0,18624,1060,3154,10,2389,2014-09-01
46193,44975,0,0,0,18419,938,2889,12,2326,2014-09-02
45793,44579,0,0,0,18494,839,2845,11,2357,2014-09-03
46008,44964,0,0,0,18148,887,2697,14,2150,2014-09-04
46181,45111,0,0,0,18394,948,2866,12,2225,2014-09-05
45966,44845,0,0,0,18422,1069,3020,17,2336,2014-09-06
45783,44623,0,0,0,18211,897,2942,16,2345,2014-09-07
46044,44860,0,0,0,18695,912,2783,16,2193,2014-09-08
46034,45014,0,0,0,18545,948,2805,18,2164,2014-09-09
46139,44990,0,0,0,19535,1267,3208,15,2314,2014-09-10
46260,45142,0,0,0,18632,1175,3173,15,2341,2014-09-11
46236,45270,0,0,0,18697,1222,3157,17,2301,2014-09-12
46077,45012,0,0,0,18475,1252,3264,15,2402,2014-09-13
45622,44578,0,0,0,17802,771,2727,16,2227,2014-09-14
46156,45166,0,0,0,17983,838,2650,14,2055,2014-09-15
46292,45294,0,0,0,17953,1064,3097,17,2295,2014-09-16
46346,45305,0,0,0,17924,787,2711,14,2163,2014-09-17
45873,44842,0,0,0,18200,857,2729,16,2099,2014-09-18
46417,45408,0,0,0,18194,815,2679,13,2077,2014-09-19
46203,45226,0,0,0,18399,812,2656,11,2124,2014-09-20
46063,45023,0,0,0,18478,1058,3038,14,2318,2014-09-21
45905,44913,0,0,0,18271,862,2840,14,2244,2014-09-22
46044,45371,0,0,0,17960,786,2667,20,2110,2014-09-23
46080,45422,0,0,0,18572,908,2733,17,2084,2014-09-24
46203,45524,0,0,0,17953,898,2725,20,2084,2014-09-25
45677,45000,0,0,0,18077,682,2568,18,2084,2014-09-26
45948,45269,0,0,0,17900,718,2449,19,2031,2014-09-27
45912,45214,0,0,0,18059,802,2593,13,1989,2014-09-28
46062,45366,0,0,0,18181,1056,2881,12,2159,2014-09-29
45599,44917,0,0,0,18145,966,3016,15,2278,2014-09-30
46129,45405,0,0,0,18192,941,2858,14,2075,2014-10-01
45870,45253,0,0,0,18459,1026,2901,13,2178,2014-10-02
45827,45277,0,0,0,18994,1309,3236,12,2326,2014-10-03
45913,45216,0,0,0,18793,1311,3294,11,2341,2014-10-04
45883,45220,0,0,0,18032,670,2588,11,2181,2014-10-05
46137,45491,0,0,0,17958,786,2623,11,2053,2014-10-06
46034,45401,0,0,0,17958,917,2859,9,2121,2014-10-07
45983,45303,0,0,0,18004,768,2702,15,2175,2014-10-08
45866,45195,0,0,0,18138,807,2589,18,2029,2014-10-09
46018,45345,0,0,0,18423,1078,2885,17,2061,2014-10-10
45830,45178,0,0,0,18968,1323,3305,15,2354,2014-10-11
43115,42476,0,0,0,18247,1002,2554,15,1942,2014-10-12
46030,45318,0,0,0,19547,1517,3577,10,2485,2014-10-13
46121,45380,0,0,0,19624,1591,3577,15,2521,2014-10-14
46256,45507,0,0,0,19276,1447,3455,15,2382,2014-10-15
46326,45541,0,0,0,18408,1065,3102,14,2323,2014-10-16
46270,45497,0,0,0,18493,755,2609,16,2075,2014-10-17
46125,45391,0,0,0,18306,988,2784,14,2049,2014-10-18
45973,45237,0,0,0,17972,713,2582,15,2075,2014-10-19
46227,45545,0,0,0,18433,850,2478,17,1962,2014-10-20
46331,45628,0,0,0,18284,1158,3036,19,2112,2014-10-21
46253,45553,0,0,0,18521,1139,2970,14,2162,2014-10-22
46080,45378,0,0,0,19004,1332,3196,11,2255,2014-10-23
46007,45293,0,0,0,18257,839,2683,15,2097,2014-10-24
45914,45200,0,0,0,18172,620,2385,17,2026,2014-10-25
45829,45094,0,0,0,18321,727,2542,17,2049,2014-10-26
46013,45238,0,0,0,18540,619,2433,11,1989,2014-10-27
46178,45451,0,0,0,18702,919,2733,15,2142,2014-10-28
46198,45465,0,0,0,18278,921,2727,9,2130,2014-10-29
46191,45461,0,0,0,18048,767,2660,16,2144,2014-10-30
46215,45528,0,0,0,18406,1053,2784,12,1995,2014-10-31
45903,45191,0,0,0,18706,1473,3376,15,2323,2014-11-01
45676,44930,0,0,0,18715,937,2911,17,2245,2014-11-02
45910,45196,0,0,0,18253,757,2528,18,2035,2014-11-03
46251,45542,0,0,0,19101,1172,2991,17,2135,2014-11-04
46196,45443,0,0,0,19267,1165,3004,14,2226,2014-11-05
46288,45586,0,0,0,19133,1591,3437,15,2271,2014-11-06
46359,45646,0,0,0,18954,1071,3103,18,2333,2014-11-07
45060,44345,0,0,0,18378,671,2547,15,2066,2014-11-08
46066,45371,0,0,0,18381,737,2475,11,1964,2014-11-09
46292,45640,0,0,0,17997,837,2562,13,2031,2014-11-10
46158,45478,0,0,0,18030,971,2676,17,2022,2014-11-11
46200,45537,0,0,0,17991,974,2804,14,2100,2014-11-12
46238,45649,0,0,0,18051,1188,2839,15,1944,2014-11-13
46123,45515,0,0,0,17985,1131,3055,14,2012,2014-11-14
45929,45343,0,0,0,17708,723,2227,15,1074,2014-11-15
46116,45459,0,0,0,18227,1235,2945,17,2048,2014-11-16
46284,45516,0,0,0,19529,1918,3755,15,2357,2014-11-17
46329,45631,0,0,0,18377,1020,3024,14,2233,2014-11-18
46313,45687,0,0,0,17953,972,2693,16,1935,2014-11-19
46526,45865,0,0,0,18115,940,2777,21,2021,2014-11-20
46477,45817,0,0,0,18340,987,2805,20,2076,2014-11-21
46258,45595,0,0,0,18798,1292,3088,12,2208,2014-11-22
46223,45480,0,0,0,19772,1778,3710,13,2426,2014-11-23
46197,45413,0,0,0,19837,1744,3969,13,2663,2014-11-24
46388,45652,0,0,0,18930,1096,2987,16,2288,2014-11-25
46410,45645,0,0,0,19533,1472,3222,20,2202,2014-11-26
46252,45477,0,0,0,19289,1198,3139,14,2274,2014-11-27
46241,45584,0,0,0,18528,975,2821,15,2049,2014-11-28
46116,45491,0,0,0,18314,829,2582,15,1937,2014-11-29
45960,45283,0,0,0,17891,728,2421,10,1890,2014-11-30
46121,45428,0,0,0,18123,1064,2743,20,2030,2014-12-01
46323,45684,0,0,0,18312,1167,2961,14,2136,2014-12-02
46437,45660,0,0,0,18689,1538,3397,19,2242,2014-12-03
45863,45202,0,0,0,18223,1123,2933,19,2151,2014-12-04
